project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
7089,FINANCIALLY COMPLETED,PP,39612.00,39715.00,39903.00,40908.00,  1.500 ,  1.490 ,  0.010 ,
7090,FINANCIALLY COMPLETED,AD,39623.00,39627.00,40359.00,41820.00,  1.970 ,  1.653 ,  0.317 ,1
7091,FINANCIALLY COMPLETED,PP,39623.00,39660.00,40086.00,41364.00,  1.800 ,  1.798 ,  0.002 ,
7092,FINANCIALLY COMPLETED,AD,39626.00,39632.00,40359.00,40724.00,  1.000 ,  0.682 ,  0.318 ,1
7093,FINANCIALLY COMPLETED,PP,39631.00,39658.00,39903.00,40543.00,  0.660 ,  0.660 ,  0.000 ,
7094,FINANCIALLY COMPLETED,AD,39636.00,39738.00,40359.00,42551.00,  0.875 ,  0.793 ,  0.082 ,1
7095,FINANCIALLY COMPLETED,AD,39639.00,39658.00,40755.00,41333.00,  1.000 ,  0.914 ,  0.086 ,1
7096,FINANCIALLY COMPLETED,PP,39639.00,39667.00,40086.00,40451.00,  1.000 ,  0.764 ,  0.236 ,
7097,FINANCIALLY COMPLETED,PP,39610.00,39610.00,40025.00,40359.00,  0.200 ,  0.200 ,  -   ,
7098,FINANCIALLY COMPLETED,PP,39645.00,39682.00,39872.00,40451.00,  0.500 ,  0.491 ,  0.009 ,
7099,FINANCIALLY COMPLETED,PP,39650.00,39678.00,40237.00,40908.00,  1.400 ,  0.627 ,  0.773 ,
7100,FINANCIALLY COMPLETED,PP,39652.00,39674.00,39994.00,40147.00,  0.800 ,  0.758 ,  0.042 ,
7101,FINANCIALLY COMPLETED,AD,39651.00,39824.00,39994.00,40694.00,  0.600 ,  0.421 ,  0.179 ,1
